site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2143,-,2017-10-01,0,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,1,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,2,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,3,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,4,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,5,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,6,3.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,7,1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,8,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,9,22.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,10,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,11,23.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,12,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,13,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,14,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,15,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,16,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,17,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,18,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,19,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,20,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,21,38.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),3,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,22,110.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),3,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-01,23,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,0,20.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,1,50.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),3,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,2,42.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),2,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,3,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,4,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,5,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,6,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,7,21.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,8,43.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,9,49.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,10,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,11,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,12,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,13,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,14,1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,15,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,16,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,17,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,18,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,19,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,20,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,21,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,22,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-02,23,3.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,0,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,1,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,2,2.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,3,-1.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,4,0.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-03,5,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
