site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2125,-,10/1/2017,0,19,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,1,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,4,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,5,18,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,7,18,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,9,23,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,10,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,11,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,12,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,13,14,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,14,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,15,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,16,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,17,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,18,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,19,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,20,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,21,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,22,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/1/2017,23,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,0,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,1,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,2,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,3,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,4,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,5,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,6,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,7,21,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,8,-2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,9,-2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,10,26,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,11,17,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,12,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,13,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/2/2017,14,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
