X,Y,field_1,number,address,Tiger,X4,X5,long,lat,X7,X8,optional,Key,join_UACE10,join_GEOID10,join_NAME10,join_NAMELSAD10,join_LSAD10,join_MTFCC10,join_UATYP10,join_FUNCSTAT10,join_ALAND10,join_AWATER10,join_INTPTLAT10,join_INTPTLON10,join_irwinid,join_mapmethod,join_unitIDProt,join_unitIDOwn,join_incidentID,join_fireName,join_perDatTime,join_comments,join_agency,join_active,join_latest,join_compParID,join_fireYear,join_dateCrnt,join_inciwebId,join_firecode,join_compfirecd,join_fireNum,join_ComplexNm,join_state,join_mergeid,join_inComplex,join_GISACRES,distance
-122.762199,38.504247,2,17,"478 Noonan Ranch Ln, Larkfield-Wikiup, CA, 95403",No_Match,NA,NA,-122.762199,38.504247,NA,NA,TRUE,LKW01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.011971012
-122.931654,38.389173,1,19,"1935 Bohemian Hwy, Occidental, CA, 95465",No_Match,NA,NA,-122.931654,38.389173,-122.931654,NA,TRUE,OCC01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.194485974
-122.661661,38.278485,4,23,"198 Ely Rd N, Petaluma, CA, 94954",No_Match,NA,NA,-122.661661,38.278485,NA,NA,TRUE,PTL01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 21:30,Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;,State Agency,Y,Y,,2017,10/26/2017,,,,,,CA,{},N,56556.40081,0.141969615
-122.70069,38.252895,22,1,"4588 Bodega Ave, Petaluma, CA, 94952",Match,Exact,"4588 BODEGA AVE, PETALUMA, CA, 94952",-122.70069,38.252895,67490564,L,TRUE,PTL03,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 21:30,Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;,State Agency,Y,Y,,2017,10/26/2017,,,,,,CA,{},N,56556.40081,0.174837004
-122.64398,38.246876,26,5,"55 Shasta Ave, Petaluma, CA, 94952",Match,Exact,"55 SHASTA AVE, PETALUMA, CA, 94952",-122.64398,38.246876,67477248,L,TRUE,PTL04,83008,83008,"Sonoma, CA","Sonoma, CA Urban Cluster",76,G3500,C,S,32189594,0,38.2991424,-122.4765407,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 21:30,Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;,State Agency,Y,Y,,2017,10/26/2017,,,,,,CA,{},N,56556.40081,0.154963995
-122.642107,38.261111,28,9,"1425 Sunrise Parkway, Petaluma, CA,",No_Match,NA,NA,-122.642107,38.261111,NA,NA,TRUE,PTL05,83008,83008,"Sonoma, CA","Sonoma, CA Urban Cluster",76,G3500,C,S,32189594,0,38.2991424,-122.4765407,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 21:30,Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;,State Agency,Y,Y,,2017,10/26/2017,,,,,,CA,{},N,56556.40081,0.14412344
-122.69032,38.3241,8,25,"8657 Lancaster Dr, Rohnert Park, CA, 94928",Match,Exact,"8657 LANCASTER DR, ROHNERT PARK, CA, 94928",-122.69032,38.3241,67473166,R,TRUE,ROH01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 21:30,Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;,State Agency,Y,Y,,2017,10/26/2017,,,,,,CA,{},N,56556.40081,0.104360069
-122.69176,38.324818,9,16,"8511 Liman Way, Rohnert Park, CA, 94928",Match,Exact,"8511 LIMAN WAY, ROHNERT PARK, CA, 94928",-122.69176,38.324818,67473153,R,TRUE,ROH02,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 21:30,Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;,State Agency,Y,Y,,2017,10/26/2017,,,,,,CA,{},N,56556.40081,0.104285362
-122.83999,38.404736,7,15,"459 Sequoia Ln, Sebastopol, CA, 95472",Match,Exact,"459 SEQUOIA LN, SEBASTOPOL, CA, 95472",-122.83999,38.404736,624288304,L,TRUE,SBP01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.107909942
-122.79931,38.372486,14,28,"6024 Fredricks Rd, Sebastopol, CA, 95472",Match,Exact,"6024 FREDRICKS RD, SEBASTOPOL, CA, 95472",-122.79931,38.372486,67466209,R,TRUE,SBP02,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 21:30,Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex,CDF,Y,Y,,2017,10/26/2017,,LE5R,,10045,,CA,{},N,36807.51753,0.107182505
