site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag,time
50436,3490,10/1/2017,0,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 0:00
50437,3490,10/1/2017,1,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 1:00
50438,3490,10/1/2017,2,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 2:00
50439,3490,10/1/2017,3,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 3:00
50440,3490,10/1/2017,4,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 4:00
50441,3490,10/1/2017,5,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 5:00
50442,3490,10/1/2017,6,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 6:00
50443,3490,10/1/2017,7,11,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 7:00
50444,3490,10/1/2017,8,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 8:00
50445,3490,10/1/2017,9,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 9:00
50446,3490,10/1/2017,10,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 10:00
50447,3490,10/1/2017,11,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 11:00
50448,3490,10/1/2017,12,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 12:00
50449,3490,10/1/2017,13,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 13:00
50450,3490,10/1/2017,14,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 14:00
50451,3490,10/1/2017,15,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 15:00
50452,3490,10/1/2017,16,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 16:00
50453,3490,10/1/2017,17,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 17:00
50454,3490,10/1/2017,18,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 18:00
50455,3490,10/1/2017,19,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 19:00
50456,3490,10/1/2017,20,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 20:00
50457,3490,10/1/2017,21,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 21:00
50458,3490,10/1/2017,22,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 22:00
50459,3490,10/1/2017,23,9,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/1/2017 23:00
50460,3490,10/2/2017,0,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 0:00
50461,3490,10/2/2017,1,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 1:00
50462,3490,10/2/2017,2,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 2:00
50463,3490,10/2/2017,3,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 3:00
50464,3490,10/2/2017,4,0,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 4:00
50465,3490,10/2/2017,5,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 5:00
50466,3490,10/2/2017,6,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 6:00
50467,3490,10/2/2017,7,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 7:00
50468,3490,10/2/2017,8,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 8:00
50469,3490,10/2/2017,10,0,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 10:00
50470,3490,10/2/2017,11,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 11:00
50471,3490,10/2/2017,12,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 12:00
50472,3490,10/2/2017,13,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 13:00
50473,3490,10/2/2017,14,2,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 14:00
50474,3490,10/2/2017,15,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 15:00
50475,3490,10/2/2017,16,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 16:00
50476,3490,10/2/2017,17,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 17:00
50477,3490,10/2/2017,18,4,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 18:00
50478,3490,10/2/2017,19,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 19:00
50479,3490,10/2/2017,20,5,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 20:00
50480,3490,10/2/2017,21,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 21:00
50481,3490,10/2/2017,22,10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 22:00
50482,3490,10/2/2017,23,8,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/2/2017 23:00
50483,3490,10/3/2017,0,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 0:00
50484,3490,10/3/2017,1,7,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue,37.68,-121.78,H,NA,NA,10/3/2017 1:00
