Key,address,lat,long,HYSPLIT_raw,HYSPLIT_smooth,all_sensors,local_sensors,wo_false_negs,local_wo_false_negs,RANK:,HYSPLIT_raw,HYSPLIT_smooth,all_sensors,local_sensors,wo_false_negs,local_wo_false_negs
SRO02,"301 Steele Ln, Santa Rosa, CA, 95403",38.460484,-122.7204,1,1,0.503424636,0.629436872,0.626613713,0.652729408,,1,1,19,19,19,19
SRO09,"1717 Yulupa Ave, Santa Rosa, CA, 95405",38.43874,-122.67097,0.730627306,0.875097972,0.651478724,0.774722691,0.792220691,0.82201959,,2,2,18,18,8,17
SRO10,"1632 West Ave, Santa Rosa, CA, 95407",38.420914,-122.72789,0.667896679,0.724858133,0.704214053,0.839805434,0.784699107,0.857599437,,3,3,15,14,10,15
WND01,"901 Adele Dr, Windsor, CA, 95492",38.552208,-122.80717,0.57195572,0.525718198,0.740849898,0.835479793,0.837039976,0.861883378,,4,7,11,15,7,14
SRO07,"651 Airport Blvd, Santa Rosa, CA, 95407",38.511105,-122.77461,0.57195572,0.613250905,0.681026619,0.802774628,0.784978563,0.830216731,,4,5,16,16,9,16
LKW01,"478 Noonan Ranch Ln, Larkfield-Wikiup, CA, 95403",38.504247,-122.762199,0.57195572,0.667202966,0.657134248,0.782925159,0.766046831,0.811383882,,4,4,17,17,13,18
ROH02,"8511 Liman Way, Rohnert Park, CA, 94928",38.324818,-122.69176,0.498154982,0.523884579,0.873058718,1,0.883615047,1,,7,8,5,1,5,1
ROH01,"8657 Lancaster Dr, Rohnert Park, CA, 94928",38.3241,-122.69032,0.498154982,0.523884579,0.879584766,0.989014388,0.892471158,0.990475143,,7,8,4,2,4,2
PTL01,"198 Ely Rd N, Petaluma, CA, 94954",38.278485,-122.661661,0.498154982,0.519978694,0.949983308,0.935410274,0.970004117,0.945545719,,7,10,3,7,3,6
PTL05,"1425 Sunrise Parkway, Petaluma, CA,",38.261111,-122.642107,0.498154982,0.5178743,0.970588207,0.924816231,0.985457591,0.936774984,,7,11,2,10,2,8
PTL04,"55 Shasta Ave, Petaluma, CA, 94952",38.246876,-122.64398,0.498154982,0.498853401,0.978522722,0.922307284,0.991718931,0.934563693,,7,13,1,11,1,9
SRO08,"245 Mountain View Ave, Santa Rosa, CA,",38.379387,-122.7042,0.498154982,0.554942343,0.780908972,0.897426183,0.840238558,0.911178785,,7,6,6,12,6,12
SRO06,"1225 Fulton Rd, Santa Rosa, CA, 95401",38.448532,-122.76956,0.442804428,0.515734641,0.713375296,0.870221487,0.76934371,0.876330374,,13,12,13,13,12,13
SBP03,"7450 Bodega Ave, Sebastopol, CA, 95472",38.40017,-122.828064,0.413284133,0.419666173,0.759470404,0.974726638,0.748509085,0.949841151,,14,15,10,3,16,3
SBP01,"459 Sequoia Ln, Sebastopol, CA, 95472",38.404736,-122.83999,0.413284133,0.414896989,0.761183736,0.969926511,0.753275672,0.947515817,,14,16,8,4,14,4
SBP06,"7905 Valentine Ave, Sebastopol, CA, 95472",38.402252,-122.83709,0.413284133,0.409639067,0.761183736,0.969926511,0.753275672,0.947515817,,14,17,8,4,14,4
SBP04,"1764 Cooper Rd, Sebastopol, CA, 95472",38.386102,-122.801047,0.413284133,0.428470221,0.76974779,0.963287213,0.770070035,0.945395579,,14,14,7,6,11,7
SBP07,"4250 Bones Rd, Sebastopol, CA, 95472",38.443447,-122.90854,0.273062731,0.28880564,0.711255337,0.925839453,0.739837373,0.922314296,,18,18,14,9,18,11
OCC01,"1935 Bohemian Hwy, Occidental, CA, 95465",38.389173,-122.931654,0.243542435,0.256208363,0.718432076,0.935181398,0.741657445,0.929787256,,19,19,12,8,17,10
