X,Y,field_1,number,address,Tiger,X4,X5,long,lat,X7,X8,optional,Key,join_UACE10,join_GEOID10,join_NAME10,join_NAMELSAD10,join_LSAD10,join_MTFCC10,join_UATYP10,join_FUNCSTAT10,join_ALAND10,join_AWATER10,join_INTPTLAT10,join_INTPTLON10,join_irwinid,join_mapmethod,join_unitIDProt,join_unitIDOwn,join_incidentID,join_fireName,join_perDatTime,join_comments,join_agency,join_active,join_latest,join_compParID,join_fireYear,join_dateCrnt,join_inciwebId,join_firecode,join_compfirecd,join_fireNum,join_ComplexNm,join_state,join_mergeid,join_inComplex,join_GISACRES,distance
-122.931654,38.389173,1,19,"1935 Bohemian Hwy, Occidental, CA, 95465",No_Match,NA,NA,-122.931653999999990,38.389173000000000,-122.931654,NA,TRUE,OCC01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.194485974086988
-122.762199,38.504247,2,17,"478 Noonan Ranch Ln, Larkfield-Wikiup, CA, 95403",No_Match,NA,NA,-122.762199000000000,38.504246999999999,NA,NA,TRUE,LKW01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0119710119620051
-122.795586,38.424272,3,22,"4993 Occidental Rd, Santa Rosa, CA, 95401",No_Match,NA,NA,-122.795586000000000,38.424272000000002,NA,NA,TRUE,SRO01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0616499145481727
-122.661661,38.278485,4,23,"198 Ely Rd N, Petaluma, CA, 94954",No_Match,NA,NA,-122.661661000000000,38.278485000000003,NA,NA,TRUE,PTL01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.141969614586071
-122.7204,38.460484,5,18,"301 Steele Ln, Santa Rosa, CA, 95403",Match,Exact,"301 STEELE LN, SANTA ROSA, CA, 95403",-122.720400000000000,38.460484000000001,67485380,R,TRUE,SRO02,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0104131903603931
-122.77546,38.454853,6,24,"1422 Forestview Dr, Santa Rosa, CA, 95401",Match,Exact,"1422 FORESTVIEW DR, SANTA ROSA, CA, 95401",-122.775460000000000,38.454853000000000,67517275,R,TRUE,SRO03,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0262538453874802
-122.83999,38.404736,7,15,"459 Sequoia Ln, Sebastopol, CA, 95472",Match,Exact,"459 SEQUOIA LN, SEBASTOPOL, CA, 95472",-122.839990000000000,38.404736000000000,624288304,L,TRUE,SBP01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.107909942252357
-122.69032,38.3241,8,25,"8657 Lancaster Dr, Rohnert Park, CA, 94928",Match,Exact,"8657 LANCASTER DR, ROHNERT PARK, CA, 94928",-122.690320000000000,38.324100000000001,67473166,R,TRUE,ROH01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.104360068811466
-122.69176,38.324818,9,16,"8511 Liman Way, Rohnert Park, CA, 94928",Match,Exact,"8511 LIMAN WAY, ROHNERT PARK, CA, 94928",-122.691760000000000,38.324818000000000,67473153,R,TRUE,ROH02,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.104285361679869
-122.625114,38.46394,10,26,"885 Wildwood Trail, Santa Rosa, CA, 95409",Match,Exact,"885 WILDWOOD TRL, SANTA ROSA, CA, 95409",-122.625114000000000,38.463940000000001,67508691,L,TRUE,SRO04,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.0333142225035211
